run,description,batch_size,rep,task_sequence,tasks_in_batch,backbone_latency_ms,total_latency_ms,per_request_latency_ms,mean_decoder_latency_ms,sum_decoder_latency_ms,mean_swap_latency_ms,gpu_peak_mb
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,3,heartrate,"heartrate,heartrate",3.229031,4.004942,2.002471,0.347345,0.69469,0.000455,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,4,heartrate,"heartrate,heartrate",3.226341,4.004279,2.0021395,0.348632,0.697264,0.0004605,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,5,heartrate,"heartrate,heartrate",3.229335,4.004437,2.0022185,0.346157,0.692314,0.0004595,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,6,heartrate,"heartrate,heartrate",3.243994,4.14604,2.07302,0.4100405,0.820081,0.00044,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,7,heartrate,"heartrate,heartrate",3.220756,4.019211,2.0096055,0.3573915,0.714783,0.000502,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,8,heartrate,"heartrate,heartrate",3.223299,4.000408,2.000204,0.3491765,0.698353,0.0004685,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,9,heartrate,"heartrate,heartrate",3.209764,3.994201,1.9971005,0.353037,0.706074,0.000463,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,10,heartrate,"heartrate,heartrate",3.224611,4.001399,2.0006995,0.3315695,0.663139,0.0005365,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,11,heartrate,"heartrate,heartrate",3.288597,4.05275,2.026375,0.340676,0.681352,0.000471,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,12,heartrate,"heartrate,heartrate",3.220576,3.997618,1.998809,0.34887,0.69774,0.0004485,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,13,heartrate,"heartrate,heartrate",3.196011,3.999077,1.9995385,0.361254,0.722508,0.0004665,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,14,heartrate,"heartrate,heartrate",3.365137,4.144195,2.0720975,0.350455,0.70091,0.0004525,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,15,heartrate,"heartrate,heartrate",3.283801,4.024424,2.012212,0.3301175,0.660235,0.000482,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,16,heartrate,"heartrate,heartrate",3.175027,3.999202,1.999601,0.3719545,0.743909,0.0004915,444.38818359375
